transaction_id,client_id,produit_id,agence_id,date_transaction,montant,devise,taux_change_eur,type_operation,statut,solde_avant,is_anomalie,score_credit_client,segment_id,segment_client,produit,categorie,agence
TXN000559,CLI0060,1,1,2022-04-19 02:31:00,2050.42,EUR,1.0,Credit,Complete,16415.1,false,645.0,1,Premium,Compte Epargne,Depot especes,Marseille-Vieux-Port
TXN001154,CLI0057,2,2,2024-06-20 20:51:00,-123.66,GBP,0.86,Debit,Rejete,42890.81,false,435.0,2,Risque,Credit Consommation,Retrait DAB,Bordeaux-Meriadeck
TXN000764,CLI0015,3,3,2024-08-28 05:03:00,-396.17,EUR,1.0,Debit,Complete,48489.38,false,648.0,3,Standard,PEA,Prelevement,Lyon-Part-Dieu
TXN001598,CLI0045,4,2,2024-01-07 08:16:00,225.2,EUR,1.0,Credit,Complete,43962.51,false,704.0,3,Standard,Credit Consommation,Paiement CB,Bordeaux-Meriadeck
TXN001873,CLI0034,5,2,2024-08-11 19:52:00,935.32,EUR,1.0,Credit,Complete,17312.83,false,457.0,2,Risque,Credit Immobilier,Interets,Bordeaux-Meriadeck
TXN001864,CLI0061,6,1,2024-04-28 23:08:00,-256.73,CHF,0.97,Debit,Rejete,29211.28,true,341.0,2,Risque,Compte Epargne,Remboursement credit,Marseille-Vieux-Port
TXN000931,CLI0118,1,4,2023-09-13 12:04:00,2752.67,EUR,1.0,Credit,Rejete,30331.51,false,641.0,3,Standard,Compte Epargne,Depot especes,Lille-Grand-Place
TXN000620,CLI0005,7,4,2023-10-06 03:29:00,1962.49,EUR,1.0,Credit,Complete,46954.33,false,694.0,3,Standard,Livret A,Remboursement credit,Lille-Grand-Place
TXN000581,CLI0064,8,4,2022-10-24 11:30:00,363.52,GBP,0.86,Credit,Complete,45270.95,false,800.0,1,Premium,Compte Courant,Paiement CB,Lille-Grand-Place
TXN000726,CLI0085,9,5,2022-04-21 21:15:00,6451.32,EUR,1.0,Credit,Complete,19136.15,true,390.0,2,Risque,Credit Consommation,Virement international,Toulouse-Capitole
TXN000701,CLI0009,1,6,2023-11-08 18:40:00,2407.48,EUR,1.0,Credit,Rejete,10289.81,false,645.0,3,Standard,Compte Epargne,Depot especes,Nice-Massena
TXN001018,CLI0031,10,2,2022-12-31 00:55:00,-1128.78,USD,1.08,Debit,Complete,10767.62,false,559.0,2,Risque,PEA,Remboursement credit,Bordeaux-Meriadeck
TXN001870,CLI0038,11,2,2023-08-24 04:11:00,-193.06,USD,1.08,Debit,Complete,17181.83,false,516.0,2,Risque,Compte Epargne,Retrait DAB,Bordeaux-Meriadeck
TXN001124,CLI0134,8,6,2022-09-27 10:27:00,-199.89,USD,1.08,Debit,Complete,40008.59,false,600.0,3,Standard,Compte Courant,Paiement CB,Nice-Massena
TXN000116,CLI0077,12,7,2024-11-09 17:31:03,-5728.17,EUR,1.0,Debit,Complete,33722.94,true,322.0,2,Risque,Compte Courant,Virement international,Paris-Centre
